effective_from,si_do,si_gun_gu,eup_myeon_dong,note,source_title,source_url
2026-07-01,강원,원주시,중앙동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,원주시,태장동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,원주시,행구동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 원주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,춘천시,중앙로2가,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 춘천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,춘천시,퇴계동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 춘천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,강원,춘천시,후평동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 춘천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,대동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,대화동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,덕이동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,백석동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,일산동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,장항동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,정발산동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,주엽동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,중산동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,탄현동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,고양시,화정동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 동고양세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,광명시,소하동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 광명세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,광명시,일직동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 광명세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,광명시,철산동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 광명세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,구리시,다산동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 구리세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,구리시,도농동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 구리세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,구리시,별내동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 구리세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,구리시,삼패동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 구리세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,구리시,수택동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 구리세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,구리시,인창동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 구리세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,남양주시,장현리,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 남양주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,남양주시,청평읍,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 남양주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,남양주시,호평동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 남양주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,남양주시,회곡리,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 남양주세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,부천시,상동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 부천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,부천시,심곡동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 남부천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,부천시,심곡본동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 남부천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,부천시,여월동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 부천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,부천시,중동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 부천세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,곡동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,구미동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,금곡동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,금광동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,백현동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,삼평동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,상대원동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,서현동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,성남동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,수내동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,수동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,수진동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,시흥동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,신동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,신흥동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 성남세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,야탑동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
2026-07-01,경기,성남시,정자동,"국세청고시 제2026-19호(2026.7.1. 시행, 폐지제정) 별표4 지역기준(관할 세무서: 분당세무서) - 국가법령정보센터 행정규칙 텍스트레이어 직접 파싱. 실제로는 업종/면적 조건부 배제이나 단순화하여 전체 배제로 처리. 자동추출 특성상 일부 지역 누락 가능",국세청고시 제2026-19호 간이과세배제기준,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulId=21174
